,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.03437339999982214,470.0,True,100,0.05,100
1,1,0.08660989999998492,613.0,True,100,0.05,100
2,2,0.13165970000000016,613.0,True,100,0.05,100
3,3,0.1759578999999576,613.0,True,100,0.05,100
4,4,0.22306140000000596,613.0,True,100,0.05,100
5,5,0.27216629999998077,613.0,True,100,0.05,100
6,6,0.32130209999991166,613.0,True,100,0.05,100
7,7,0.03646470000012414,470.0,True,100,0.1,100
8,8,0.08803100000000086,655.0,True,100,0.1,100
9,9,0.1375275000000329,676.0,True,100,0.1,100
10,10,0.18350540000005822,676.0,True,100,0.1,100
11,11,0.22951420000003964,676.0,True,100,0.1,100
12,12,0.2761891000000105,676.0,True,100,0.1,100
13,13,0.3212628000001132,676.0,True,100,0.1,100
14,14,0.3750371000000996,676.0,True,100,0.1,100
15,15,0.03650440000001254,470.0,True,100,0.15000000000000002,100
16,16,0.09043950000000223,623.0,True,100,0.15000000000000002,100
17,17,0.13955160000000433,697.0,True,100,0.15000000000000002,100
18,18,0.18698190000009163,792.0,True,100,0.15000000000000002,100
19,19,0.24252559999990808,859.0,True,100,0.15000000000000002,100
20,20,0.2908155000000079,859.0,True,100,0.15000000000000002,100
21,21,0.340533300000061,859.0,True,100,0.15000000000000002,100
22,22,0.3877654000000348,859.0,True,100,0.15000000000000002,100
23,23,0.44052319999991596,859.0,True,100,0.15000000000000002,100
24,24,0.492035499999929,859.0,True,100,0.15000000000000002,100
25,25,0.03533479999987321,470.0,True,100,0.2,100
26,26,0.08796729999994568,554.0,True,100,0.2,100
27,27,0.13610589999984768,643.0,True,100,0.2,100
28,28,0.18562009999982365,667.0,True,100,0.2,100
29,29,0.23476080000000366,714.0,True,100,0.2,100
30,30,0.28364029999988816,714.0,True,100,0.2,100
31,31,0.3303756999998768,714.0,True,100,0.2,100
32,32,0.3788951999999881,749.0,True,100,0.2,100
33,33,0.4252121999998053,749.0,True,100,0.2,100
34,34,0.4714473999999882,749.0,True,100,0.2,100
35,35,0.5192905999999766,749.0,True,100,0.2,100
36,36,0.5669674999999188,749.0,True,100,0.2,100
37,37,0.6172527999999602,749.0,True,100,0.2,100
38,38,0.03841370000009192,470.0,True,100,0.25,100
39,39,0.09391740000000937,526.0,True,100,0.25,100
40,40,0.1409501000000546,537.0,True,100,0.25,100
41,41,0.187679800000069,579.0,True,100,0.25,100
42,42,0.2326517999999851,646.0,True,100,0.25,100
43,43,0.27941390000000865,664.0,True,100,0.25,100
44,44,0.32562589999997726,727.0,True,100,0.25,100
45,45,0.37009549999993396,743.0,True,100,0.25,100
46,46,0.413062600000103,750.0,True,100,0.25,100
47,47,0.4583895999999186,751.0,True,100,0.25,100
48,48,0.5060656000000563,751.0,True,100,0.25,100
49,49,0.5556966999999986,751.0,True,100,0.25,100
50,50,0.6034207000000151,751.0,True,100,0.25,100
51,51,0.650359299999991,751.0,True,100,0.25,100
52,52,0.6966797000000042,751.0,True,100,0.25,100
53,53,0.034477700000024925,470.0,True,100,0.3,100
54,54,0.08540679999987333,551.0,True,100,0.3,100
55,55,0.12947639999993044,577.0,True,100,0.3,100
56,56,0.17402100000003884,602.0,True,100,0.3,100
57,57,0.21854050000001735,673.0,True,100,0.3,100
58,58,0.2621180999999524,727.0,True,100,0.3,100
59,59,0.30701490000001286,748.0,True,100,0.3,100
60,60,0.3508644999999433,809.0,True,100,0.3,100
61,61,0.39324869999995826,838.0,True,100,0.3,100
62,62,0.4364341999998942,860.0,True,100,0.3,100
63,63,0.47855699999990975,860.0,True,100,0.3,100
64,64,0.5210213999998814,860.0,True,100,0.3,100
65,65,0.5632737000000816,860.0,True,100,0.3,100
66,66,0.6080706000000191,860.0,True,100,0.3,100
67,67,0.653536000000031,860.0,True,100,0.3,100
68,68,0.03454569999985324,470.0,True,100,0.35000000000000003,100
69,69,0.0888391999999385,583.0,True,100,0.35000000000000003,100
70,70,0.13389869999991788,583.0,True,100,0.35000000000000003,100
71,71,0.1805667999999514,703.0,True,100,0.35000000000000003,100
72,72,0.2234505999999783,703.0,True,100,0.35000000000000003,100
73,73,0.2676507999999558,704.0,True,100,0.35000000000000003,100
74,74,0.31107810000003155,734.0,True,100,0.35000000000000003,100
75,75,0.3562824000000546,763.0,True,100,0.35000000000000003,100
76,76,0.4003060000000005,802.0,True,100,0.35000000000000003,100
77,77,0.4455158999999185,824.0,True,100,0.35000000000000003,100
78,78,0.48965580000003683,824.0,True,100,0.35000000000000003,100
79,79,0.5327026999998452,824.0,True,100,0.35000000000000003,100
80,80,0.5765512999998919,824.0,True,100,0.35000000000000003,100
81,81,0.6214222999999492,824.0,True,100,0.35000000000000003,100
82,82,0.6666689999999562,824.0,True,100,0.35000000000000003,100
83,83,0.03518250000001899,470.0,True,100,0.4,100
84,84,0.0899019999999382,529.0,True,100,0.4,100
85,85,0.13708100000008017,562.0,True,100,0.4,100
86,86,0.18344589999992422,562.0,True,100,0.4,100
87,87,0.23047300000007453,597.0,True,100,0.4,100
88,88,0.2765260999999555,597.0,True,100,0.4,100
89,89,0.32382060000009005,706.0,True,100,0.4,100
90,90,0.3684418000000278,706.0,True,100,0.4,100
91,91,0.4132111999999779,743.0,True,100,0.4,100
92,92,0.457813299999998,766.0,True,100,0.4,100
93,93,0.5043929000000844,766.0,True,100,0.4,100
94,94,0.5503214000000298,789.0,True,100,0.4,100
95,95,0.5961929000000055,793.0,True,100,0.4,100
96,96,0.6429057000000284,793.0,True,100,0.4,100
97,97,0.6906014000001051,793.0,True,100,0.4,100
98,98,0.738749000000098,793.0,True,100,0.4,100
99,99,0.788242099999934,793.0,True,100,0.4,100
100,100,0.8366504999999052,793.0,True,100,0.4,100
101,101,0.034235399999943184,470.0,True,100,0.45,100
102,102,0.08717589999992015,533.0,True,100,0.45,100
103,103,0.13431519999994634,544.0,True,100,0.45,100
104,104,0.18353899999988244,575.0,True,100,0.45,100
105,105,0.23013399999990725,588.0,True,100,0.45,100
106,106,0.27637800000002244,633.0,True,100,0.45,100
107,107,0.3231269999998858,638.0,True,100,0.45,100
108,108,0.3711398000000372,667.0,True,100,0.45,100
109,109,0.4181263000000399,733.0,True,100,0.45,100
110,110,0.46403269999996155,775.0,True,100,0.45,100
111,111,0.5093623000000207,795.0,True,100,0.45,100
112,112,0.5535251999999673,803.0,True,100,0.45,100
113,113,0.601307499999848,815.0,True,100,0.45,100
114,114,0.6472036999998636,857.0,True,100,0.45,100
115,115,0.6933511999998245,857.0,True,100,0.45,100
116,116,0.7386056000000281,857.0,True,100,0.45,100
117,117,0.7850192999999308,857.0,True,100,0.45,100
118,118,0.8322044999999889,857.0,True,100,0.45,100
119,119,0.8822708999998667,857.0,True,100,0.45,100
120,120,0.034240100000033635,470.0,True,100,0.5,100
121,121,0.08793100000002596,527.0,True,100,0.5,100
122,122,0.13406099999997423,624.0,True,100,0.5,100
123,123,0.1826074000000517,624.0,True,100,0.5,100
124,124,0.22693320000007589,661.0,True,100,0.5,100
125,125,0.2722945999998956,730.0,True,100,0.5,100
126,126,0.3168255999999019,730.0,True,100,0.5,100
127,127,0.3614271999999801,764.0,True,100,0.5,100
128,128,0.4065418000000136,819.0,True,100,0.5,100
129,129,0.4530631000000085,842.0,True,100,0.5,100
130,130,0.4992717000000084,883.0,True,100,0.5,100
131,131,0.546112100000073,916.0,True,100,0.5,100
132,132,0.5927354000000378,916.0,True,100,0.5,100
133,133,0.6419687000000067,919.0,True,100,0.5,100
134,134,0.6868008999999802,919.0,True,100,0.5,100
135,135,0.7349128999999266,919.0,True,100,0.5,100
136,136,0.7860771999999088,947.0,True,100,0.5,100
137,137,0.8342095000000427,947.0,True,100,0.5,100
138,138,0.8821457999999893,947.0,True,100,0.5,100
139,139,0.9306401999999707,947.0,True,100,0.5,100
140,140,0.9786538000000746,947.0,True,100,0.5,100
141,141,1.0273566999999275,947.0,True,100,0.5,100
142,142,0.03495810000003985,470.0,True,100,0.55,100
143,143,0.08747720000019399,527.0,True,100,0.55,100
144,144,0.13294250000012653,624.0,True,100,0.55,100
145,145,0.17772830000012618,624.0,True,100,0.55,100
146,146,0.223663500000157,624.0,True,100,0.55,100
147,147,0.2696845000000394,624.0,True,100,0.55,100
148,148,0.33063640000000305,659.0,True,100,0.55,100
149,149,0.37791379999998753,677.0,True,100,0.55,100
150,150,0.4268731000001935,717.0,True,100,0.55,100
151,151,0.4765924000000723,726.0,True,100,0.55,100
152,152,0.5259345000001758,739.0,True,100,0.55,100
153,153,0.5767315000000508,767.0,True,100,0.55,100
154,154,0.6269549000001007,792.0,True,100,0.55,100
155,155,0.6773231000001942,883.0,True,100,0.55,100
156,156,0.7272176000001309,883.0,True,100,0.55,100
157,157,0.7761740000000827,883.0,True,100,0.55,100
158,158,0.8259510000000319,883.0,True,100,0.55,100
159,159,0.8741798000000927,883.0,True,100,0.55,100
160,160,0.92385790000003,883.0,True,100,0.55,100
161,161,0.0375238999999965,470.0,True,100,0.6000000000000001,100
162,162,0.09514719999992849,521.0,True,100,0.6000000000000001,100
163,163,0.1450967999999193,562.0,True,100,0.6000000000000001,100
164,164,0.19392449999986638,562.0,True,100,0.6000000000000001,100
165,165,0.24110269999982847,562.0,True,100,0.6000000000000001,100
166,166,0.2885146999999506,562.0,True,100,0.6000000000000001,100
167,167,0.3364721999998892,631.0,True,100,0.6000000000000001,100
168,168,0.3857978999999432,631.0,True,100,0.6000000000000001,100
169,169,0.43490879999990284,631.0,True,100,0.6000000000000001,100
170,170,0.4844714999999269,631.0,True,100,0.6000000000000001,100
