,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
47,100,33.0,0.06672140000000581,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0]",150,0.24000000000000002,100
48,0,31.0,0.004084799999986899,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.25,100
49,100,33.0,0.06774089999998978,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",150,0.25,100
50,0,31.0,0.004452300000025389,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.26,100
51,100,33.0,0.0704364000000055,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",150,0.26,100
52,0,31.0,0.003797299999973802,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.27,100
53,100,33.0,0.06551559999996925,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",150,0.27,100
54,0,31.0,0.004986400000007052,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.28,100
55,100,33.0,0.06861499999996568,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",150,0.28,100
56,0,31.0,0.0038225000000124965,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.29000000000000004,100
57,100,33.0,0.06677300000001196,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1]",150,0.29000000000000004,100
58,0,31.0,0.004683599999964372,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.3,100
59,100,33.0,0.06653199999999515,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1]",150,0.3,100
60,0,31.0,0.0049455999999850064,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.31,100
61,100,33.0,0.07014599999996562,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1]",150,0.31,100
62,0,31.0,0.004262500000038472,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.32,100
63,100,33.0,0.07089630000001534,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1]",150,0.32,100
64,0,31.0,0.0038807999999903586,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.33,100
65,100,33.0,0.06573609999998098,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1]",150,0.33,100
66,0,31.0,0.003946500000040487,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.34,100
67,100,33.0,0.06667540000000827,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",150,0.34,100
68,0,31.0,0.0038963999999737098,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.35000000000000003,100
69,100,33.0,0.06860840000001645,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",150,0.35000000000000003,100
70,0,31.0,0.004942400000004454,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.36000000000000004,100
71,100,33.0,0.07658760000003895,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0]",150,0.36000000000000004,100
72,0,31.0,0.004551300000002811,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.37,100
73,100,33.0,0.07307489999999461,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0]",150,0.37,100
74,0,31.0,0.005002199999978529,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.38,100
75,100,33.0,0.0736135999999874,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0]",150,0.38,100
76,0,31.0,0.004292000000020835,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.39,100
77,100,33.0,0.07422600000001012,"[0, 1, 1, 0, 1, 1, 1, 0, 0, 1]",150,0.39,100
78,0,31.0,0.004701499999953285,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.4,100
79,100,33.0,0.07189729999998917,"[0, 1, 1, 0, 1, 1, 1, 0, 0, 1]",150,0.4,100
80,0,31.0,0.003891199999998207,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.41000000000000003,100
81,100,33.0,0.0682405000000017,"[0, 1, 1, 0, 1, 1, 1, 0, 0, 1]",150,0.41000000000000003,100
82,0,31.0,0.0041588000000274405,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.42000000000000004,100
83,100,33.0,0.0683385000000385,"[0, 1, 1, 0, 1, 1, 1, 0, 0, 1]",150,0.42000000000000004,100
84,0,31.0,0.0047207000000071275,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",150,0.43,100
