,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters,fevals
0,0,0.004643699999999917,12.0,False,150,0.05,100,True
1,1,0.34398470000000003,25.0,False,150,0.05,100,True
2,2,0.7085168,27.0,False,150,0.05,100,True
3,3,1.0476215999999998,27.0,False,150,0.05,100,True
4,4,1.4048566,27.0,False,150,0.05,100,True
5,5,1.7816831999999998,27.0,False,150,0.05,100,True
6,6,2.1176437999999997,27.0,False,150,0.05,100,True
7,7,2.4653234,27.0,False,150,0.05,100,True
8,8,2.8342617,27.0,False,150,0.05,100,True
9,9,3.1821804,27.0,False,150,0.05,100,True
10,10,3.5074515,27.0,False,150,0.05,100,True
11,11,3.8096574,27.0,False,150,0.05,100,True
12,12,4.1113052,27.0,False,150,0.05,100,True
13,13,0.00443319999999936,12.0,False,150,0.1,100,True
14,14,0.2954637,25.0,False,150,0.1,100,True
15,15,0.6332164999999996,27.0,False,150,0.1,100,True
16,16,0.9518733999999993,27.0,False,150,0.1,100,True
17,17,1.2598383999999996,27.0,False,150,0.1,100,True
18,18,1.5698748999999994,27.0,False,150,0.1,100,True
19,19,1.9065838999999993,27.0,False,150,0.1,100,True
20,20,2.374654699999999,27.0,False,150,0.1,100,True
21,21,3.0241854000000004,27.0,False,150,0.1,100,True
22,22,3.699619499999999,27.0,False,150,0.1,100,True
23,23,4.5093988,27.0,False,150,0.1,100,True
24,24,5.2469333,27.0,False,150,0.1,100,True
25,25,6.041278,27.0,False,150,0.1,100,True
26,26,0.006558100000001232,12.0,False,150,0.15000000000000002,100,True
27,27,0.5239450000000012,25.0,False,150,0.15000000000000002,100,True
28,28,1.3171416000000011,27.0,False,150,0.15000000000000002,100,True
29,29,2.068994,30.0,False,150,0.15000000000000002,100,True
30,30,2.9230871,30.0,False,150,0.15000000000000002,100,True
31,31,3.7030168999999997,30.0,False,150,0.15000000000000002,100,True
32,32,4.4870818,30.0,False,150,0.15000000000000002,100,True
33,33,5.3155321,30.0,False,150,0.15000000000000002,100,True
34,34,6.094116099999999,30.0,False,150,0.15000000000000002,100,True
35,35,6.888133000000002,30.0,False,150,0.15000000000000002,100,True
36,36,7.628863900000001,30.0,False,150,0.15000000000000002,100,True
37,37,8.444466499999999,30.0,False,150,0.15000000000000002,100,True
38,38,9.2606145,30.0,False,150,0.15000000000000002,100,True
39,39,10.075174900000002,30.0,False,150,0.15000000000000002,100,True
40,40,0.009157200000000643,12.0,False,150,0.2,100,True
41,41,0.7812784999999991,25.0,False,150,0.2,100,True
42,42,1.5896770999999994,25.0,False,150,0.2,100,True
43,43,2.3376853000000004,27.0,False,150,0.2,100,True
44,44,3.3981132999999986,30.0,False,150,0.2,100,True
45,45,4.204206899999999,30.0,False,150,0.2,100,True
46,46,4.988224200000001,30.0,False,150,0.2,100,True
47,47,5.766664299999999,30.0,False,150,0.2,100,True
48,48,6.538464300000001,30.0,False,150,0.2,100,True
49,49,7.271817299999999,30.0,False,150,0.2,100,True
50,50,7.992059300000001,30.0,False,150,0.2,100,True
51,51,8.7268939,30.0,False,150,0.2,100,True
52,52,9.469237200000002,30.0,False,150,0.2,100,True
53,53,10.220588000000003,30.0,False,150,0.2,100,True
54,54,10.9515171,30.0,False,150,0.2,100,True
55,55,0.016457699999996578,12.0,False,150,0.25,100,True
56,56,0.7786027999999945,26.0,False,150,0.25,100,True
57,57,1.4520607999999982,27.0,False,150,0.25,100,True
58,58,2.167213999999994,29.0,False,150,0.25,100,True
59,59,3.093384599999993,30.0,False,150,0.25,100,True
60,60,3.856923099999996,30.0,False,150,0.25,100,True
61,61,4.647308699999996,30.0,False,150,0.25,100,True
62,62,5.439594999999997,30.0,False,150,0.25,100,True
63,63,6.249455999999995,30.0,False,150,0.25,100,True
64,64,7.053263799999996,30.0,False,150,0.25,100,True
65,65,7.852663899999996,30.0,False,150,0.25,100,True
66,66,8.6114228,30.0,False,150,0.25,100,True
67,67,9.366424599999995,30.0,False,150,0.25,100,True
68,68,10.171809399999994,30.0,False,150,0.25,100,True
69,69,10.959354099999999,30.0,False,150,0.25,100,True
70,70,0.016687399999995023,12.0,False,150,0.3,100,True
71,71,0.7719955999999968,26.0,False,150,0.3,100,True
72,72,1.5546588999999997,27.0,False,150,0.3,100,True
73,73,2.530776699999997,30.0,False,150,0.3,100,True
74,74,3.243113599999994,30.0,False,150,0.3,100,True
75,75,4.022109999999998,30.0,False,150,0.3,100,True
76,76,4.818992999999999,30.0,False,150,0.3,100,True
77,77,5.619264799999996,30.0,False,150,0.3,100,True
78,78,6.429881699999996,30.0,False,150,0.3,100,True
79,79,7.245771699999999,30.0,False,150,0.3,100,True
80,80,8.076881299999997,30.0,False,150,0.3,100,True
81,81,8.847888599999997,30.0,False,150,0.3,100,True
82,82,9.638099499999996,30.0,False,150,0.3,100,True
83,83,10.448962099999996,30.0,False,150,0.3,100,True
84,84,0.014884599999994919,12.0,False,150,0.35000000000000003,100,True
85,85,0.7783482999999976,26.0,False,150,0.35000000000000003,100,True
86,86,1.5758355999999978,29.0,False,150,0.35000000000000003,100,True
87,87,2.5625920999999963,29.0,False,150,0.35000000000000003,100,True
88,88,3.365924899999996,29.0,False,150,0.35000000000000003,100,True
89,89,4.171454999999995,30.0,False,150,0.35000000000000003,100,True
90,90,4.9283081999999965,30.0,False,150,0.35000000000000003,100,True
91,91,5.577010199999997,30.0,False,150,0.35000000000000003,100,True
92,92,6.2922438999999954,30.0,False,150,0.35000000000000003,100,True
93,93,7.017345299999995,30.0,False,150,0.35000000000000003,100,True
