,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0024239999999999817,5.0,100,0.15,1000
1,1,0.015302900000000008,5.0,100,0.15,1000
2,2,0.02238169999999995,5.0,100,0.15,1000
3,3,0.028309600000000046,5.0,100,0.15,1000
4,4,0.0345850999999997,5.0,100,0.15,1000
5,5,0.04104140000000012,5.0,100,0.15,1000
6,6,0.046913800000000005,5.0,100,0.15,1000
7,7,0.05445380000000011,5.0,100,0.15,1000
8,8,0.06056719999999993,5.0,100,0.15,1000
9,9,0.06654530000000003,5.0,100,0.15,1000
10,10,0.07283649999999975,5.0,100,0.15,1000
11,11,0.07888779999999995,5.0,100,0.15,1000
12,12,0.08499999999999996,5.0,100,0.15,1000
13,13,0.09120159999999977,5.0,100,0.15,1000
14,14,0.09767769999999976,5.0,100,0.15,1000
15,15,0.10403420000000008,5.0,100,0.15,1000
16,16,0.11018220000000012,5.0,100,0.15,1000
17,17,0.11703619999999981,5.0,100,0.15,1000
18,18,0.1232489000000001,5.0,100,0.15,1000
19,19,0.12949699999999975,5.0,100,0.15,1000
20,20,0.13541150000000002,5.0,100,0.15,1000
21,21,0.1415516000000001,5.0,100,0.15,1000
22,22,0.14879989999999976,5.0,100,0.15,1000
23,23,0.15500420000000004,5.0,100,0.15,1000
24,24,0.16120579999999984,5.0,100,0.15,1000
25,25,0.16715670000000005,5.0,100,0.15,1000
26,26,0.17420370000000007,5.0,100,0.15,1000
27,27,0.18123069999999997,5.0,100,0.15,1000
28,28,0.18732459999999973,5.0,100,0.15,1000
29,29,0.19352100000000005,5.0,100,0.15,1000
30,30,0.19974109999999978,5.0,100,0.15,1000
31,31,0.20691330000000008,5.0,100,0.15,1000
32,32,0.21330629999999973,5.0,100,0.15,1000
33,33,0.21975539999999993,5.0,100,0.15,1000
34,34,0.2267834999999998,5.0,100,0.15,1000
35,35,0.23305089999999984,5.0,100,0.15,1000
36,36,0.24038009999999987,5.0,100,0.15,1000
37,37,0.24639480000000002,5.0,100,0.15,1000
38,38,0.25369850000000005,5.0,100,0.15,1000
39,39,0.25987539999999987,5.0,100,0.15,1000
40,40,0.2658106,5.0,100,0.15,1000
41,41,0.2725901999999998,5.0,100,0.15,1000
42,42,0.2786586999999998,5.0,100,0.15,1000
43,43,0.2846574999999998,5.0,100,0.15,1000
44,44,0.29076499999999994,5.0,100,0.15,1000
45,45,0.29665529999999984,5.0,100,0.15,1000
46,46,0.30336359999999996,5.0,100,0.15,1000
47,47,0.3094517999999997,5.0,100,0.15,1000
48,48,0.31553739999999975,5.0,100,0.15,1000
49,49,0.3218904,5.0,100,0.15,1000
50,50,0.32807070000000005,5.0,100,0.15,1000
51,51,0.33593610000000007,5.0,100,0.15,1000
52,52,0.34213499999999986,5.0,100,0.15,1000
53,53,0.3485111999999999,5.0,100,0.15,1000
54,54,0.3544111000000001,5.0,100,0.15,1000
55,55,0.3605324999999997,5.0,100,0.15,1000
56,56,0.3668429999999998,5.0,100,0.15,1000
57,57,0.3730281999999998,5.0,100,0.15,1000
58,58,0.37938629999999973,5.0,100,0.15,1000
59,59,0.38528569999999984,5.0,100,0.15,1000
60,60,0.39136269999999973,5.0,100,0.15,1000
61,61,0.39936490000000013,5.0,100,0.15,1000
62,62,0.4053694000000001,5.0,100,0.15,1000
63,63,0.4116987999999999,5.0,100,0.15,1000
64,64,0.4176414999999998,5.0,100,0.15,1000
65,65,0.4242450999999998,5.0,100,0.15,1000
66,66,0.43069159999999984,5.0,100,0.15,1000
67,67,0.4366952999999998,5.0,100,0.15,1000
68,68,0.44303990000000004,5.0,100,0.15,1000
69,69,0.44920150000000003,5.0,100,0.15,1000
70,70,0.45562060000000004,5.0,100,0.15,1000
71,71,0.46181209999999995,5.0,100,0.15,1000
72,72,0.46767329999999996,5.0,100,0.15,1000
73,73,0.4740188999999999,5.0,100,0.15,1000
74,74,0.4800852999999998,5.0,100,0.15,1000
75,75,0.4865676999999997,5.0,100,0.15,1000
76,76,0.4936948000000001,5.0,100,0.15,1000
77,77,0.4999743999999997,5.0,100,0.15,1000
78,78,0.5061437,5.0,100,0.15,1000
79,79,0.5122747999999997,5.0,100,0.15,1000
80,80,0.5199249999999997,5.0,100,0.15,1000
81,81,0.5258648999999997,5.0,100,0.15,1000
82,82,0.5323348000000001,5.0,100,0.15,1000
83,83,0.5384930999999997,5.0,100,0.15,1000
84,84,0.5443644999999999,5.0,100,0.15,1000
85,85,0.5509122,5.0,100,0.15,1000
86,86,0.5568832000000001,5.0,100,0.15,1000
87,87,0.5631287,5.0,100,0.15,1000
88,88,0.5693041000000001,5.0,100,0.15,1000
89,89,0.5751724,5.0,100,0.15,1000
90,90,0.5819391,5.0,100,0.15,1000
91,91,0.5879455,5.0,100,0.15,1000
92,92,0.5940865999999998,5.0,100,0.15,1000
93,93,0.6002573999999998,5.0,100,0.15,1000
94,94,0.6061308999999997,5.0,100,0.15,1000
95,95,0.6140689999999998,5.0,100,0.15,1000
96,96,0.6203344999999998,5.0,100,0.15,1000
97,97,0.6262350999999997,5.0,100,0.15,1000
98,98,0.6330931999999998,5.0,100,0.15,1000
99,99,0.6397893999999997,5.0,100,0.15,1000
100,100,0.6460095999999997,5.0,100,0.15,1000
101,101,0.6521542999999999,5.0,100,0.15,1000
102,102,0.6585768000000001,5.0,100,0.15,1000
103,103,0.6646636000000004,5.0,100,0.15,1000
104,104,0.6709041,5.0,100,0.15,1000
105,105,0.6798192999999997,5.0,100,0.15,1000
106,106,0.6863060999999999,5.0,100,0.15,1000
107,107,0.6926431999999996,5.0,100,0.15,1000
108,108,0.6987710000000003,5.0,100,0.15,1000
109,109,0.7047760000000003,5.0,100,0.15,1000
110,110,0.7124038000000001,5.0,100,0.15,1000
111,111,0.7184456999999997,5.0,100,0.15,1000
112,112,0.7245456999999997,5.0,100,0.15,1000
113,113,0.7307330999999997,5.0,100,0.15,1000
114,114,0.7367367000000002,5.0,100,0.15,1000
115,115,0.7438267000000001,5.0,100,0.15,1000
116,116,0.7499734999999998,5.0,100,0.15,1000
117,117,0.7561807999999997,5.0,100,0.15,1000
118,118,0.7622794000000002,5.0,100,0.15,1000
119,119,0.7688627999999995,5.0,100,0.15,1000
120,120,0.7775634999999999,5.0,100,0.15,1000
121,121,0.783649,5.0,100,0.15,1000
122,122,0.7900879000000001,5.0,100,0.15,1000
123,123,0.7959555000000003,5.0,100,0.15,1000
124,124,0.8021784999999997,5.0,100,0.15,1000
125,125,0.8081212,5.0,100,0.15,1000
126,126,0.8142969,5.0,100,0.15,1000
127,127,0.8210089999999997,5.0,100,0.15,1000
128,128,0.8269899999999999,5.0,100,0.15,1000
129,129,0.8336863999999999,5.0,100,0.15,1000
130,130,0.8404609999999999,5.0,100,0.15,1000
131,131,0.8464002999999996,5.0,100,0.15,1000
132,132,0.8528521000000002,5.0,100,0.15,1000
133,133,0.8589866999999995,5.0,100,0.15,1000
134,134,0.8650271000000003,5.0,100,0.15,1000
135,135,0.8720785000000002,5.0,100,0.15,1000
136,136,0.8783987999999998,5.0,100,0.15,1000
137,137,0.8843318999999998,5.0,100,0.15,1000
138,138,0.8904596000000002,5.0,100,0.15,1000
139,139,0.8964015000000001,5.0,100,0.15,1000
140,140,0.9032677999999996,5.0,100,0.15,1000
141,141,0.9093667000000001,5.0,100,0.15,1000
142,142,0.9155488999999997,5.0,100,0.15,1000
143,143,0.9216145,5.0,100,0.15,1000
144,144,0.9275065000000002,5.0,100,0.15,1000
145,145,0.9347388000000003,5.0,100,0.15,1000
146,146,0.9416161999999999,5.0,100,0.15,1000
147,147,0.9475959,5.0,100,0.15,1000
148,148,0.9536912999999996,5.0,100,0.15,1000
149,149,0.9598071000000004,5.0,100,0.15,1000
150,150,0.9671198000000003,5.0,100,0.15,1000
151,151,0.9734681999999997,5.0,100,0.15,1000
152,152,0.9804897000000001,5.0,100,0.15,1000
153,153,0.9864187999999996,5.0,100,0.15,1000
154,154,0.9929153999999998,5.0,100,0.15,1000
155,155,0.9990792000000002,5.0,100,0.15,1000
156,156,1.0050668999999997,5.0,100,0.15,1000
157,157,1.0113996000000003,5.0,100,0.15,1000
158,158,1.0172947000000003,5.0,100,0.15,1000
159,159,1.0234647000000003,5.0,100,0.15,1000
160,160,1.0306922999999997,5.0,100,0.15,1000
161,161,1.0368881,5.0,100,0.15,1000
162,162,1.0432602000000002,5.0,100,0.15,1000
163,163,1.0495347000000002,5.0,100,0.15,1000
164,164,1.0554812999999998,5.0,100,0.15,1000
165,165,1.0621908999999996,5.0,100,0.15,1000
166,166,1.0680934,5.0,100,0.15,1000
167,167,1.0745650000000002,5.0,100,0.15,1000
168,168,1.0806796000000003,5.0,100,0.15,1000
169,169,1.0865648999999995,5.0,100,0.15,1000
170,170,1.0936146,5.0,100,0.15,1000
171,171,1.0997154999999998,5.0,100,0.15,1000
172,172,1.1057016000000002,5.0,100,0.15,1000
173,173,1.1119086,5.0,100,0.15,1000
174,174,1.1178031000000002,5.0,100,0.15,1000
175,175,1.1245401999999998,5.0,100,0.15,1000
176,176,1.1307380999999999,5.0,100,0.15,1000
177,177,1.1369019999999996,5.0,100,0.15,1000
178,178,1.1430684000000002,5.0,100,0.15,1000
179,179,1.1493540999999996,5.0,100,0.15,1000
180,180,1.1567209000000003,5.0,100,0.15,1000
181,181,1.1629118999999997,5.0,100,0.15,1000
182,182,1.1694520000000002,5.0,100,0.15,1000
183,183,1.1754092999999997,5.0,100,0.15,1000
184,184,1.1833956999999997,5.0,100,0.15,1000
185,185,1.1897088999999998,5.0,100,0.15,1000
186,186,1.1957308000000002,5.0,100,0.15,1000
187,187,1.2020619,5.0,100,0.15,1000
188,188,1.2079881999999995,5.0,100,0.15,1000
189,189,1.2144062999999998,5.0,100,0.15,1000
190,190,1.2218655000000003,5.0,100,0.15,1000
191,191,1.2277599999999995,5.0,100,0.15,1000
192,192,1.2348830999999998,5.0,100,0.15,1000
193,193,1.2409766000000002,5.0,100,0.15,1000
194,194,1.2490247999999995,5.0,100,0.15,1000
195,195,1.2551963000000002,5.0,100,0.15,1000
196,196,1.2613682000000002,5.0,100,0.15,1000
197,197,1.2674141000000003,5.0,100,0.15,1000
198,198,1.2734451999999998,5.0,100,0.15,1000
199,199,1.2800768999999996,5.0,100,0.15,1000
200,200,1.2860568999999997,5.0,100,0.15,1000
