,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.05769649999999871,412.0,True,200,0.05,100
1,1,0.13139609999999635,606.0,True,200,0.05,100
2,2,0.19838239999999985,673.0,True,200,0.05,100
3,3,0.2638277000000002,673.0,True,200,0.05,100
4,4,0.3310867000000002,673.0,True,200,0.05,100
5,5,0.40485900000000186,673.0,True,200,0.05,100
6,6,0.4783978999999974,673.0,True,200,0.05,100
7,7,0.552431900000002,673.0,True,200,0.05,100
8,8,0.05778970000000072,412.0,True,200,0.15000000000000002,100
9,9,0.13177300000000258,510.0,True,200,0.15000000000000002,100
10,10,0.19834639999999837,589.0,True,200,0.15000000000000002,100
11,11,0.26523949999999985,641.0,True,200,0.15000000000000002,100
12,12,0.33220880000000363,711.0,True,200,0.15000000000000002,100
13,13,0.4002996999999979,736.0,True,200,0.15000000000000002,100
14,14,0.46669729999999987,744.0,True,200,0.15000000000000002,100
15,15,0.5331315999999973,775.0,True,200,0.15000000000000002,100
16,16,0.6010883000000007,775.0,True,200,0.15000000000000002,100
17,17,0.6763296000000025,775.0,True,200,0.15000000000000002,100
18,18,0.7510620999999986,775.0,True,200,0.15000000000000002,100
19,19,0.8253217999999976,775.0,True,200,0.15000000000000002,100
20,20,0.898678799999999,775.0,True,200,0.15000000000000002,100
21,21,0.0581048000000024,412.0,True,200,0.25000000000000006,100
22,22,0.13534119999999916,487.0,True,200,0.25000000000000006,100
23,23,0.20553720000000197,554.0,True,200,0.25000000000000006,100
24,24,0.27709529999999916,647.0,True,200,0.25000000000000006,100
25,25,0.34860199999999963,688.0,True,200,0.25000000000000006,100
26,26,0.4199515999999974,713.0,True,200,0.25000000000000006,100
27,27,0.4914952000000028,785.0,True,200,0.25000000000000006,100
28,28,0.5622252000000003,807.0,True,200,0.25000000000000006,100
29,29,0.6317738999999989,826.0,True,200,0.25000000000000006,100
30,30,0.7021243000000013,826.0,True,200,0.25000000000000006,100
31,31,0.7765225999999998,826.0,True,200,0.25000000000000006,100
32,32,0.8485762999999977,826.0,True,200,0.25000000000000006,100
33,33,0.925843399999998,826.0,True,200,0.25000000000000006,100
34,34,1.002849900000001,826.0,True,200,0.25000000000000006,100
35,35,0.05850199999999717,412.0,True,200,0.35000000000000003,100
36,36,0.13411669999999987,472.0,True,200,0.35000000000000003,100
37,37,0.2036744999999982,518.0,True,200,0.35000000000000003,100
38,38,0.27298760000000044,518.0,True,200,0.35000000000000003,100
39,39,0.34267719999999713,571.0,True,200,0.35000000000000003,100
40,40,0.41330810000000184,633.0,True,200,0.35000000000000003,100
41,41,0.48394729999999697,698.0,True,200,0.35000000000000003,100
42,42,0.5543473999999975,742.0,True,200,0.35000000000000003,100
43,43,0.6241123000000002,770.0,True,200,0.35000000000000003,100
44,44,0.6938952,826.0,True,200,0.35000000000000003,100
45,45,0.7655817999999996,826.0,True,200,0.35000000000000003,100
46,46,0.8364144999999965,826.0,True,200,0.35000000000000003,100
47,47,0.907487500000002,826.0,True,200,0.35000000000000003,100
48,48,0.9753961999999987,826.0,True,200,0.35000000000000003,100
49,49,1.0494878999999955,826.0,True,200,0.35000000000000003,100
50,50,0.05970169999999797,412.0,True,200,0.45000000000000007,100
51,51,0.13520809999999983,497.0,True,200,0.45000000000000007,100
52,52,0.2058403999999996,497.0,True,200,0.45000000000000007,100
53,53,0.2755933999999982,497.0,True,200,0.45000000000000007,100
54,54,0.346404899999996,512.0,True,200,0.45000000000000007,100
55,55,0.4169246999999956,514.0,True,200,0.45000000000000007,100
56,56,0.48832029999999804,523.0,True,200,0.45000000000000007,100
57,57,0.5591124999999977,565.0,True,200,0.45000000000000007,100
58,58,0.6291798999999969,565.0,True,200,0.45000000000000007,100
59,59,0.702481199999994,677.0,True,200,0.45000000000000007,100
60,60,0.7727445999999958,677.0,True,200,0.45000000000000007,100
61,61,0.8426230999999973,677.0,True,200,0.45000000000000007,100
62,62,0.9132701999999995,696.0,True,200,0.45000000000000007,100
63,63,0.9847731999999993,743.0,True,200,0.45000000000000007,100
64,64,1.054249199999994,750.0,True,200,0.45000000000000007,100
65,65,1.1275809999999993,777.0,True,200,0.45000000000000007,100
66,66,1.2032775999999998,802.0,True,200,0.45000000000000007,100
67,67,1.278797499999996,826.0,True,200,0.45000000000000007,100
68,68,1.3533571999999978,826.0,True,200,0.45000000000000007,100
69,69,1.4291512999999938,826.0,True,200,0.45000000000000007,100
70,70,1.5030553999999938,826.0,True,200,0.45000000000000007,100
71,71,1.5810496999999941,826.0,True,200,0.45000000000000007,100
72,72,1.6613173000000003,826.0,True,200,0.45000000000000007,100
73,73,0.05705120000000363,412.0,True,200,0.5500000000000002,100
74,74,0.13565790000000533,493.0,True,200,0.5500000000000002,100
75,75,0.2087658000000019,493.0,True,200,0.5500000000000002,100
76,76,0.28109900000000465,493.0,True,200,0.5500000000000002,100
77,77,0.3537097000000031,493.0,True,200,0.5500000000000002,100
78,78,0.42705959999999976,513.0,True,200,0.5500000000000002,100
79,79,0.5008075000000005,518.0,True,200,0.5500000000000002,100
80,80,0.5747546000000057,519.0,True,200,0.5500000000000002,100
81,81,0.6485336000000004,551.0,True,200,0.5500000000000002,100
82,82,0.7227195000000037,605.0,True,200,0.5500000000000002,100
83,83,0.7969215000000034,676.0,True,200,0.5500000000000002,100
84,84,0.8708756000000051,676.0,True,200,0.5500000000000002,100
85,85,0.9443134000000057,702.0,True,200,0.5500000000000002,100
86,86,1.0194590999999988,702.0,True,200,0.5500000000000002,100
87,87,1.0937650999999988,773.0,True,200,0.5500000000000002,100
88,88,1.167742000000004,773.0,True,200,0.5500000000000002,100
89,89,1.2425189000000003,773.0,True,200,0.5500000000000002,100
90,90,1.3178459000000018,775.0,True,200,0.5500000000000002,100
91,91,1.391963000000004,800.0,True,200,0.5500000000000002,100
92,92,1.465724300000005,826.0,True,200,0.5500000000000002,100
93,93,1.541191099999999,826.0,True,200,0.5500000000000002,100
94,94,1.6157442000000017,826.0,True,200,0.5500000000000002,100
95,95,1.6900335999999996,826.0,True,200,0.5500000000000002,100
96,96,1.7630105,826.0,True,200,0.5500000000000002,100
97,97,1.8379085000000046,826.0,True,200,0.5500000000000002,100
98,98,0.057913399999996784,412.0,True,200,0.6500000000000001,100
99,99,0.13846050000000076,475.0,True,200,0.6500000000000001,100
100,100,0.21124809999999172,500.0,True,200,0.6500000000000001,100
101,101,0.2838643999999988,500.0,True,200,0.6500000000000001,100
102,102,0.3563864000000052,515.0,True,200,0.6500000000000001,100
103,103,0.4298198000000042,515.0,True,200,0.6500000000000001,100
104,104,0.5022728999999941,515.0,True,200,0.6500000000000001,100
105,105,0.5743812999999989,515.0,True,200,0.6500000000000001,100
106,106,0.6471317000000028,531.0,True,200,0.6500000000000001,100
107,107,0.7188282999999984,570.0,True,200,0.6500000000000001,100
108,108,0.7908905000000033,599.0,True,200,0.6500000000000001,100
109,109,0.8623142000000001,599.0,True,200,0.6500000000000001,100
110,110,0.9337488999999977,631.0,True,200,0.6500000000000001,100
111,111,1.007074000000003,645.0,True,200,0.6500000000000001,100
112,112,1.0795492000000024,655.0,True,200,0.6500000000000001,100
113,113,1.1520546999999937,703.0,True,200,0.6500000000000001,100
114,114,1.2240244999999987,727.0,True,200,0.6500000000000001,100
115,115,1.296027499999994,731.0,True,200,0.6500000000000001,100
116,116,1.3677591999999947,745.0,True,200,0.6500000000000001,100
117,117,1.4404770000000013,783.0,True,200,0.6500000000000001,100
118,118,1.5130139000000042,797.0,True,200,0.6500000000000001,100
119,119,1.5857376000000016,799.0,True,200,0.6500000000000001,100
120,120,1.6586049999999943,826.0,True,200,0.6500000000000001,100
121,121,1.7312881999999945,826.0,True,200,0.6500000000000001,100
122,122,1.8035507000000024,826.0,True,200,0.6500000000000001,100
123,123,1.8756013999999936,826.0,True,200,0.6500000000000001,100
124,124,1.9490511999999995,826.0,True,200,0.6500000000000001,100
125,125,2.021656699999994,826.0,True,200,0.6500000000000001,100
126,126,0.05863440000000253,412.0,True,200,0.7500000000000002,100
127,127,0.14304509999999482,519.0,True,200,0.7500000000000002,100
128,128,0.2189300000000003,519.0,True,200,0.7500000000000002,100
129,129,0.29434750000000065,519.0,True,200,0.7500000000000002,100
130,130,0.3698988000000014,519.0,True,200,0.7500000000000002,100
131,131,0.4467711000000065,519.0,True,200,0.7500000000000002,100
132,132,0.5223806000000053,519.0,True,200,0.7500000000000002,100
133,133,0.056721000000010235,412.0,True,200,0.8500000000000002,100
134,134,0.14024299999999812,465.0,True,200,0.8500000000000002,100
135,135,0.21845150000000046,488.0,True,200,0.8500000000000002,100
136,136,0.2960328000000061,507.0,True,200,0.8500000000000002,100
137,137,0.37365979999999865,507.0,True,200,0.8500000000000002,100
138,138,0.45017040000000463,507.0,True,200,0.8500000000000002,100
139,139,0.5270404999999982,507.0,True,200,0.8500000000000002,100
140,140,0.6046026000000069,507.0,True,200,0.8500000000000002,100
141,141,0.6822053000000068,507.0,True,200,0.8500000000000002,100
142,142,0.05640239999999608,412.0,True,200,0.9500000000000002,100
143,143,0.13764089999999385,502.0,True,200,0.9500000000000002,100
144,144,0.21296510000000524,502.0,True,200,0.9500000000000002,100
145,145,0.28835890000000575,513.0,True,200,0.9500000000000002,100
146,146,0.3643943000000007,513.0,True,200,0.9500000000000002,100
147,147,0.43912459999999953,513.0,True,200,0.9500000000000002,100
148,148,0.5150421999999963,513.0,True,200,0.9500000000000002,100
149,149,0.5896213000000046,513.0,True,200,0.9500000000000002,100
150,150,0.6647978999999964,513.0,True,200,0.9500000000000002,100
