,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,7.979999999996323e-05,1.0,50,5000,0
1,1,0.005873000000000017,1.0,50,5000,0
2,2,0.0058970999999998774,1.0,50,5000,0
3,3,0.005915299999999846,1.0,50,5000,0
4,4,0.005931600000000037,1.0,50,5000,0
5,5,0.005953499999999945,2.0,50,5000,0
6,6,0.0059698999999999725,2.0,50,5000,0
7,7,0.005985499999999977,2.0,50,5000,0
8,8,0.006001499999999993,2.0,50,5000,0
9,9,0.006017699999999904,2.0,50,5000,0
10,10,0.006033500000000025,2.0,50,5000,0
11,11,0.006049199999999866,2.0,50,5000,0
12,12,0.006064999999999987,2.0,50,5000,0
13,13,0.006081000000000003,2.0,50,5000,0
14,14,0.006097000000000019,2.0,50,5000,0
15,15,0.006113099999999871,2.0,50,5000,0
16,16,0.006129099999999887,2.0,50,5000,0
17,17,0.006145499999999915,2.0,50,5000,0
18,18,0.006161700000000048,2.0,50,5000,0
19,19,0.0061777999999999,2.0,50,5000,0
20,20,0.006194000000000033,2.0,50,5000,0
21,21,0.006210399999999838,2.0,50,5000,0
22,22,0.006226799999999866,2.0,50,5000,0
23,23,0.006243299999999952,2.0,50,5000,0
24,24,0.006259899999999874,2.0,50,5000,0
25,25,0.006276500000000018,2.0,50,5000,0
26,26,0.0062933999999998935,2.0,50,5000,0
27,27,0.006309899999999979,2.0,50,5000,0
28,28,0.006331399999999876,2.0,50,5000,0
29,29,0.006348400000000032,2.0,50,5000,0
30,30,0.006365299999999907,2.0,50,5000,0
31,31,0.006385499999999933,2.0,50,5000,0
32,32,0.0064037999999999595,2.0,50,5000,0
33,33,0.006426099999999879,4.0,50,5000,0
34,34,0.006445799999999835,4.0,50,5000,0
35,35,0.006463600000000014,4.0,50,5000,0
36,36,0.006482099999999935,4.0,50,5000,0
37,37,0.006499899999999892,4.0,50,5000,0
38,38,0.006517499999999954,4.0,50,5000,0
39,39,0.006535500000000027,4.0,50,5000,0
40,40,0.0065534000000000425,4.0,50,5000,0
41,41,0.006571199999999999,4.0,50,5000,0
42,42,0.006589299999999909,4.0,50,5000,0
43,43,0.006607199999999924,4.0,50,5000,0
44,44,0.006625699999999846,4.0,50,5000,0
45,45,0.006643500000000024,4.0,50,5000,0
46,46,0.006664400000000015,4.0,50,5000,0
47,47,0.006683699999999959,4.0,50,5000,0
48,48,0.006702599999999892,4.0,50,5000,0
49,49,0.00672129999999993,4.0,50,5000,0
50,50,0.00674039999999998,4.0,50,5000,0
51,51,0.006758799999999843,4.0,50,5000,0
52,52,0.006777699999999998,4.0,50,5000,0
53,53,0.0067965999999999305,4.0,50,5000,0
54,54,0.006821500000000036,5.0,50,5000,0
55,55,0.006841799999999898,5.0,50,5000,0
56,56,0.006861499999999854,5.0,50,5000,0
57,57,0.006882899999999914,5.0,50,5000,0
58,58,0.006902900000000045,5.0,50,5000,0
59,59,0.006923199999999907,5.0,50,5000,0
60,60,0.006943200000000038,5.0,50,5000,0
61,61,0.006963199999999947,5.0,50,5000,0
62,62,0.006983299999999915,5.0,50,5000,0
63,63,0.007003300000000046,5.0,50,5000,0
64,64,0.007022700000000048,5.0,50,5000,0
65,65,0.007042299999999946,5.0,50,5000,0
66,66,0.00706159999999989,5.0,50,5000,0
67,67,0.0070862000000000425,7.0,50,5000,0
68,68,0.0071061999999999514,7.0,50,5000,0
69,69,0.007126299999999919,7.0,50,5000,0
70,70,0.007148200000000049,7.0,50,5000,0
71,71,0.007168799999999864,7.0,50,5000,0
72,72,0.007189099999999948,7.0,50,5000,0
73,73,0.007212800000000019,7.0,50,5000,0
74,74,0.007234799999999986,7.0,50,5000,0
75,75,0.007254399999999883,7.0,50,5000,0
76,76,0.007274800000000026,7.0,50,5000,0
77,77,0.007295199999999946,7.0,50,5000,0
78,78,0.007319599999999982,7.0,50,5000,0
79,79,0.0073414000000000534,7.0,50,5000,0
80,80,0.0073632999999999615,7.0,50,5000,0
81,81,0.007384199999999952,7.0,50,5000,0
82,82,0.007404999999999884,7.0,50,5000,0
83,83,0.0074256999999999795,7.0,50,5000,0
84,84,0.007446700000000028,7.0,50,5000,0
85,85,0.007467699999999855,7.0,50,5000,0
86,86,0.0074889000000000205,7.0,50,5000,0
87,87,0.007509800000000011,7.0,50,5000,0
88,88,0.007530799999999838,7.0,50,5000,0
89,89,0.0075528999999998625,7.0,50,5000,0
90,90,0.007574199999999864,7.0,50,5000,0
91,91,0.0075952999999999715,7.0,50,5000,0
92,92,0.007616599999999973,7.0,50,5000,0
93,93,0.0076376999999998585,7.0,50,5000,0
94,94,0.007660800000000023,7.0,50,5000,0
95,95,0.007682699999999931,7.0,50,5000,0
96,96,0.00770420000000005,7.0,50,5000,0
97,97,0.0077256999999999465,7.0,50,5000,0
98,98,0.00774739999999996,7.0,50,5000,0
99,99,0.007768400000000009,7.0,50,5000,0
100,100,0.007789999999999964,7.0,50,5000,0
101,101,0.007811400000000024,7.0,50,5000,0
102,102,0.007832799999999862,7.0,50,5000,0
103,103,0.007855900000000027,7.0,50,5000,0
104,104,0.007878300000000005,7.0,50,5000,0
105,105,0.007900099999999854,7.0,50,5000,0
106,106,0.007921700000000031,7.0,50,5000,0
107,107,0.007945499999999939,7.0,50,5000,0
108,108,0.007968100000000033,7.0,50,5000,0
109,109,0.007989899999999883,7.0,50,5000,0
110,110,0.008013899999999907,7.0,50,5000,0
111,111,0.008035299999999967,7.0,50,5000,0
112,112,0.008057800000000004,7.0,50,5000,0
113,113,0.008079699999999912,7.0,50,5000,0
