,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,9.890000000001287e-05,37.0,40,5000,0
1,1,0.0067349999999999355,37.0,40,5000,0
2,2,0.006810299999999936,44.0,40,5000,0
3,3,0.006852199999999975,44.0,40,5000,0
4,4,0.006916699999999887,47.0,40,5000,0
5,5,0.006955899999999904,47.0,40,5000,0
6,6,0.0069942000000000615,47.0,40,5000,0
7,7,0.007059499999999996,48.0,40,5000,0
8,8,0.007097799999999932,48.0,40,5000,0
9,9,0.0071365999999999374,48.0,40,5000,0
10,10,0.007174999999999931,48.0,40,5000,0
11,11,0.007213899999999995,48.0,40,5000,0
12,12,0.007284199999999963,50.0,40,5000,0
13,13,0.007349499999999898,51.0,40,5000,0
14,14,0.007388399999999962,51.0,40,5000,0
15,15,0.0074281000000000486,51.0,40,5000,0
16,16,0.0074665000000000425,51.0,40,5000,0
17,17,0.007533400000000023,52.0,40,5000,0
18,18,0.007572799999999935,52.0,40,5000,0
19,19,0.00763910000000001,53.0,40,5000,0
20,20,0.007679999999999909,53.0,40,5000,0
21,21,0.007719000000000031,53.0,40,5000,0
22,22,0.007758399999999943,53.0,40,5000,0
23,23,0.007824999999999971,54.0,40,5000,0
24,24,0.00789289999999987,55.0,40,5000,0
25,25,0.007932199999999945,55.0,40,5000,0
26,26,0.00797289999999995,55.0,40,5000,0
27,27,0.008040000000000047,56.0,40,5000,0
28,28,0.008106900000000028,59.0,40,5000,0
29,29,0.008173399999999997,60.0,40,5000,0
30,30,0.008214900000000025,60.0,40,5000,0
31,31,0.008254899999999843,60.0,40,5000,0
32,32,0.008294499999999871,60.0,40,5000,0
33,33,0.008334999999999981,60.0,40,5000,0
34,34,0.008375099999999858,60.0,40,5000,0
35,35,0.008415599999999968,60.0,40,5000,0
36,36,0.008483800000000041,61.0,40,5000,0
37,37,0.00852419999999987,61.0,40,5000,0
38,38,0.008564400000000028,61.0,40,5000,0
39,39,0.00860470000000002,61.0,40,5000,0
40,40,0.008645199999999909,61.0,40,5000,0
41,41,0.008685199999999949,61.0,40,5000,0
42,42,0.008725199999999989,61.0,40,5000,0
43,43,0.0087645999999999,61.0,40,5000,0
44,44,0.008832199999999846,63.0,40,5000,0
45,45,0.008872199999999886,63.0,40,5000,0
46,46,0.008917899999999923,63.0,40,5000,0
47,47,0.008959999999999857,63.0,40,5000,0
48,48,0.009000699999999862,63.0,40,5000,0
49,49,0.009041199999999971,63.0,40,5000,0
50,50,0.00908209999999987,63.0,40,5000,0
51,51,0.009149999999999991,64.0,40,5000,0
52,52,0.009193400000000018,64.0,40,5000,0
53,53,0.009234799999999987,64.0,40,5000,0
54,54,0.009305899999999978,65.0,40,5000,0
55,55,0.009347999999999912,65.0,40,5000,0
56,56,0.009390899999999869,65.0,40,5000,0
57,57,0.009432099999999943,65.0,40,5000,0
58,58,0.009473300000000018,65.0,40,5000,0
59,59,0.009515799999999963,65.0,40,5000,0
60,60,0.009557599999999944,65.0,40,5000,0
61,61,0.00959920000000003,65.0,40,5000,0
62,62,0.009667899999999952,66.0,40,5000,0
63,63,0.009709199999999862,66.0,40,5000,0
64,64,0.009750200000000042,66.0,40,5000,0
65,65,0.0097912,66.0,40,5000,0
66,66,0.009832199999999958,66.0,40,5000,0
67,67,0.00987260000000001,66.0,40,5000,0
68,68,0.009941100000000036,67.0,40,5000,0
69,69,0.009982500000000005,67.0,40,5000,0
70,70,0.010027199999999903,67.0,40,5000,0
71,71,0.010070199999999918,67.0,40,5000,0
72,72,0.010111800000000004,67.0,40,5000,0
73,73,0.010157599999999878,67.0,40,5000,0
74,74,0.010200999999999905,67.0,40,5000,0
75,75,0.010243199999999897,67.0,40,5000,0
76,76,0.0102857999999999,67.0,40,5000,0
77,77,0.010329699999999997,67.0,40,5000,0
78,78,0.010375499999999871,67.0,40,5000,0
79,79,0.010418899999999898,67.0,40,5000,0
80,80,0.010461399999999843,67.0,40,5000,0
81,81,0.010503799999999952,67.0,40,5000,0
82,82,0.010573500000000013,68.0,40,5000,0
83,83,0.0106428999999999,71.0,40,5000,0
84,84,0.010685300000000009,71.0,40,5000,0
85,85,0.010727500000000001,71.0,40,5000,0
86,86,0.010791899999999854,71.0,40,5000,0
87,87,0.010851999999999862,71.0,40,5000,0
88,88,0.01089450000000003,71.0,40,5000,0
89,89,0.01093809999999995,71.0,40,5000,0
90,90,0.010981399999999919,71.0,40,5000,0
91,91,0.01102369999999997,71.0,40,5000,0
92,92,0.011066699999999985,71.0,40,5000,0
93,93,0.011110399999999965,71.0,40,5000,0
94,94,0.01119570000000003,71.0,40,5000,0
95,95,0.011287899999999906,71.0,40,5000,0
96,96,0.011356299999999875,71.0,40,5000,0
97,97,0.011429399999999923,72.0,40,5000,0
98,98,0.011473999999999984,72.0,40,5000,0
99,99,0.011517800000000022,72.0,40,5000,0
100,100,0.011561500000000002,72.0,40,5000,0
101,101,0.011605599999999994,72.0,40,5000,0
102,102,0.011651099999999914,72.0,40,5000,0
103,103,0.011724099999999904,73.0,40,5000,0
104,104,0.011768400000000012,73.0,40,5000,0
105,105,0.011812299999999887,73.0,40,5000,0
106,106,0.01185539999999996,73.0,40,5000,0
107,107,0.011900699999999986,73.0,40,5000,0
108,108,0.011944299999999908,73.0,40,5000,0
109,109,0.011987399999999981,73.0,40,5000,0
110,110,0.012060199999999854,74.0,40,5000,0
111,111,0.012107499999999938,74.0,40,5000,0
112,112,0.012151899999999882,74.0,40,5000,0
113,113,0.012196499999999943,74.0,40,5000,0
114,114,0.012240899999999888,74.0,40,5000,0
