,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.003993500000007089,0.0,100,0.15,1000
1,1,0.01876730000000748,0.0,100,0.15,1000
2,2,0.02812040000000593,0.0,100,0.15,1000
3,3,0.036462499999998954,0.0,100,0.15,1000
4,4,0.044480100000015454,0.0,100,0.15,1000
5,5,0.052497799999997596,0.0,100,0.15,1000
6,6,0.06037470000001122,0.0,100,0.15,1000
7,7,0.06988160000000221,0.0,100,0.15,1000
8,8,0.07796899999999596,0.0,100,0.15,1000
9,9,0.08588819999999942,0.0,100,0.15,1000
10,10,0.09378369999998881,0.0,100,0.15,1000
11,11,0.10299480000000472,0.0,100,0.15,1000
12,12,0.11176439999999843,0.0,100,0.15,1000
13,13,0.11994350000000509,0.0,100,0.15,1000
14,14,0.12790849999998954,0.0,100,0.15,1000
15,15,0.1367908,0.0,100,0.15,1000
16,16,0.14462510000001316,0.0,100,0.15,1000
17,17,0.15276070000001596,0.0,100,0.15,1000
18,18,0.16063579999999433,0.0,100,0.15,1000
19,19,0.1693928999999912,0.0,100,0.15,1000
20,20,0.17704530000000318,0.0,100,0.15,1000
21,21,0.18526690000001622,0.0,100,0.15,1000
22,22,0.1932587999999953,0.0,100,0.15,1000
23,23,0.20336180000001036,0.0,100,0.15,1000
24,24,0.21152040000001193,0.0,100,0.15,1000
25,25,0.21956720000000018,0.0,100,0.15,1000
26,26,0.22754489999999805,0.0,100,0.15,1000
27,27,0.2353164000000163,0.0,100,0.15,1000
28,28,0.24321539999999686,0.0,100,0.15,1000
29,29,0.2513907999999958,0.0,100,0.15,1000
30,30,0.2607010000000116,0.0,100,0.15,1000
31,31,0.2686166999999955,0.0,100,0.15,1000
32,32,0.2772630000000049,0.0,100,0.15,1000
33,33,0.28609170000001427,0.0,100,0.15,1000
34,34,0.29494779999998855,0.0,100,0.15,1000
35,35,0.30298250000001303,0.0,100,0.15,1000
36,36,0.3110964999999908,0.0,100,0.15,1000
37,37,0.3188739999999939,0.0,100,0.15,1000
38,38,0.32719209999999066,0.0,100,0.15,1000
39,39,0.3352139000000136,0.0,100,0.15,1000
40,40,0.34317770000001246,0.0,100,0.15,1000
41,41,0.3509353000000033,0.0,100,0.15,1000
42,42,0.35959880000001476,0.0,100,0.15,1000
43,43,0.3673995999999988,0.0,100,0.15,1000
44,44,0.3762274999999988,0.0,100,0.15,1000
45,45,0.3840259000000117,0.0,100,0.15,1000
46,46,0.39344900000000393,0.0,100,0.15,1000
47,47,0.40160600000001523,0.0,100,0.15,1000
48,48,0.4092816000000141,0.0,100,0.15,1000
49,49,0.4189440000000104,0.0,100,0.15,1000
50,50,0.42764850000000365,0.0,100,0.15,1000
51,51,0.43547369999998864,0.0,100,0.15,1000
52,52,0.44313909999999623,0.0,100,0.15,1000
53,53,0.45178609999999253,0.0,100,0.15,1000
54,54,0.45951389999999037,0.0,100,0.15,1000
55,55,0.4685901000000001,0.0,100,0.15,1000
56,56,0.47717349999999215,0.0,100,0.15,1000
57,57,0.4867821999999933,0.0,100,0.15,1000
58,58,0.494614399999989,0.0,100,0.15,1000
59,59,0.5024515000000065,0.0,100,0.15,1000
60,60,0.5102249999999913,0.0,100,0.15,1000
61,61,0.5186001000000147,0.0,100,0.15,1000
62,62,0.5263226000000145,0.0,100,0.15,1000
63,63,0.5343808000000081,0.0,100,0.15,1000
64,64,0.5424160000000029,0.0,100,0.15,1000
65,65,0.5519734000000085,0.0,100,0.15,1000
66,66,0.5603763999999956,0.0,100,0.15,1000
67,67,0.5695651000000055,0.0,100,0.15,1000
68,68,0.5798181000000113,899.0,100,0.15,1000
69,69,0.587927900000011,969.0,100,0.15,1000
70,70,0.5961650000000134,970.0,100,0.15,1000
71,71,0.6044502000000023,970.0,100,0.15,1000
72,72,0.6138215000000002,970.0,100,0.15,1000
73,73,0.6222500000000082,970.0,100,0.15,1000
74,74,0.6305289000000016,970.0,100,0.15,1000
75,75,0.6397747000000038,970.0,100,0.15,1000
76,76,0.6483588000000111,970.0,100,0.15,1000
77,77,0.6572266000000013,970.0,100,0.15,1000
78,78,0.6662793000000136,970.0,100,0.15,1000
79,79,0.6757967000000065,970.0,100,0.15,1000
80,80,0.685365499999989,970.0,100,0.15,1000
81,81,0.6936019999999985,970.0,100,0.15,1000
82,82,0.7022168000000022,970.0,100,0.15,1000
83,83,0.7111443999999949,971.0,100,0.15,1000
84,84,0.7194939999999974,971.0,100,0.15,1000
85,85,0.7274795000000154,971.0,100,0.15,1000
86,86,0.7363177000000007,971.0,100,0.15,1000
87,87,0.7445491000000004,972.0,100,0.15,1000
88,88,0.7529389999999978,972.0,100,0.15,1000
89,89,0.7610353999999973,972.0,100,0.15,1000
90,90,0.7712606999999991,972.0,100,0.15,1000
91,91,0.77943590000001,972.0,100,0.15,1000
92,92,0.7875064000000123,972.0,100,0.15,1000
93,93,0.7955250999999919,972.0,100,0.15,1000
94,94,0.804001999999997,972.0,100,0.15,1000
95,95,0.8120639999999923,972.0,100,0.15,1000
96,96,0.8203723999999966,972.0,100,0.15,1000
97,97,0.8291293999999994,972.0,100,0.15,1000
98,98,0.8385119000000145,972.0,100,0.15,1000
99,99,0.8468560000000025,972.0,100,0.15,1000
100,100,0.8548442000000023,972.0,100,0.15,1000
101,101,0.8640035999999895,972.0,100,0.15,1000
102,102,0.8719796000000031,972.0,100,0.15,1000
103,103,0.8803057000000081,972.0,100,0.15,1000
104,104,0.888498200000015,972.0,100,0.15,1000
105,105,0.8973604999999907,972.0,100,0.15,1000
106,106,0.9052799000000107,972.0,100,0.15,1000
107,107,0.9133935000000122,972.0,100,0.15,1000
108,108,0.9219334999999944,972.0,100,0.15,1000
109,109,0.9313803999999948,972.0,100,0.15,1000
110,110,0.9393908000000124,972.0,100,0.15,1000
111,111,0.9471305000000143,972.0,100,0.15,1000
112,112,0.9563176000000055,972.0,100,0.15,1000
113,113,0.9650173999999936,972.0,100,0.15,1000
114,114,0.9731499000000099,972.0,100,0.15,1000
115,115,0.981098099999997,972.0,100,0.15,1000
116,116,0.9893010000000118,972.0,100,0.15,1000
117,117,0.9970651000000146,972.0,100,0.15,1000
118,118,1.0050105999999914,972.0,100,0.15,1000
119,119,1.013031500000011,972.0,100,0.15,1000
120,120,1.0216953000000046,972.0,100,0.15,1000
121,121,1.0297767000000135,972.0,100,0.15,1000
122,122,1.0376416999999947,972.0,100,0.15,1000
123,123,1.0454817000000105,972.0,100,0.15,1000
124,124,1.0546732999999904,972.0,100,0.15,1000
125,125,1.0626597000000118,972.0,100,0.15,1000
126,126,1.070982200000003,972.0,100,0.15,1000
127,127,1.0788420000000087,972.0,100,0.15,1000
128,128,1.086781099999996,972.0,100,0.15,1000
129,129,1.0947352000000024,972.0,100,0.15,1000
130,130,1.1026583999999957,972.0,100,0.15,1000
131,131,1.1105392999999992,972.0,100,0.15,1000
132,132,1.1192793000000165,972.0,100,0.15,1000
133,133,1.1270811999999921,972.0,100,0.15,1000
134,134,1.1353210000000047,972.0,100,0.15,1000
135,135,1.1431745000000149,972.0,100,0.15,1000
136,136,1.1529766000000166,972.0,100,0.15,1000
137,137,1.1628640000000132,972.0,100,0.15,1000
138,138,1.1708830000000034,972.0,100,0.15,1000
139,139,1.1800719999999956,972.0,100,0.15,1000
140,140,1.1880587999999932,972.0,100,0.15,1000
141,141,1.1958775999999887,972.0,100,0.15,1000
142,142,1.2049430000000143,972.0,100,0.15,1000
143,143,1.2146303000000103,972.0,100,0.15,1000
144,144,1.2229792999999916,972.0,100,0.15,1000
145,145,1.231129299999992,972.0,100,0.15,1000
146,146,1.2394666000000143,972.0,100,0.15,1000
147,147,1.248297199999996,972.0,100,0.15,1000
148,148,1.2562906999999939,972.0,100,0.15,1000
149,149,1.2644234999999924,972.0,100,0.15,1000
150,150,1.2739985000000047,972.0,100,0.15,1000
151,151,1.2821598000000165,972.0,100,0.15,1000
152,152,1.2904891999999961,972.0,100,0.15,1000
153,153,1.2986161999999979,972.0,100,0.15,1000
154,154,1.3070300999999915,972.0,100,0.15,1000
155,155,1.3149989000000062,972.0,100,0.15,1000
156,156,1.3230365999999947,972.0,100,0.15,1000
157,157,1.3309787000000028,972.0,100,0.15,1000
158,158,1.340342899999996,972.0,100,0.15,1000
159,159,1.348547200000013,972.0,100,0.15,1000
160,160,1.3567395999999974,972.0,100,0.15,1000
161,161,1.3652353999999889,972.0,100,0.15,1000
162,162,1.3735658999999885,972.0,100,0.15,1000
163,163,1.3815682000000038,972.0,100,0.15,1000
164,164,1.3896467000000143,972.0,100,0.15,1000
165,165,1.3987161000000015,972.0,100,0.15,1000
166,166,1.4075148000000013,972.0,100,0.15,1000
