,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.10865590000000225,574.0,True,250,0.35,100
1,1,0.2353736999999967,695.0,True,250,0.35,100
2,2,0.3548766999999984,800.0,True,250,0.35,100
3,3,0.47643320000000244,822.0,True,250,0.35,100
4,4,0.6004154000000028,913.0,True,250,0.35,100
5,5,0.7227528000000021,922.0,True,250,0.35,100
6,6,0.8487056000000024,1014.0,True,250,0.35,100
7,7,0.9732807999999977,1137.0,True,250,0.35,100
8,8,1.1000070999999991,1178.0,True,250,0.35,100
9,9,1.2264687999999992,1178.0,True,250,0.35,100
10,10,1.3522358999999966,1178.0,True,250,0.35,100
11,11,1.4780039999999985,1178.0,True,250,0.35,100
12,12,1.601101100000001,1178.0,True,250,0.35,100
13,13,1.7312040999999994,1178.0,True,250,0.35,100
