,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.034447699999999415,307.0,150,0.05,1000
1,1,0.08014249999999912,392.0,150,0.05,1000
2,2,0.12222769999999983,392.0,150,0.05,1000
3,3,0.16240509999999908,392.0,150,0.05,1000
4,4,0.20251539999999935,432.0,150,0.05,1000
5,5,0.2423719000000002,432.0,150,0.05,1000
6,6,0.2828154000000005,458.0,150,0.05,1000
7,7,0.32336239999999883,458.0,150,0.05,1000
8,8,0.3634845000000002,458.0,150,0.05,1000
9,9,0.40386479999999914,458.0,150,0.05,1000
10,10,0.44402969999999975,458.0,150,0.05,1000
11,11,0.48445360000000015,458.0,150,0.05,1000
12,12,0.5252838000000004,466.0,150,0.05,1000
13,13,0.5659855,474.0,150,0.05,1000
14,14,0.6065185,477.0,150,0.05,1000
15,15,0.6469755999999993,503.0,150,0.05,1000
16,16,0.687517999999999,503.0,150,0.05,1000
17,17,0.7297048999999998,503.0,150,0.05,1000
18,18,0.7706103000000013,509.0,150,0.05,1000
19,19,0.8104000000000013,509.0,150,0.05,1000
20,20,0.8520873999999985,523.0,150,0.05,1000
21,21,0.8925170999999992,524.0,150,0.05,1000
22,22,0.9332667999999984,544.0,150,0.05,1000
23,23,0.9738502999999987,544.0,150,0.05,1000
24,24,1.0142221000000013,577.0,150,0.05,1000
25,25,1.0541072999999983,577.0,150,0.05,1000
26,26,1.094630200000001,577.0,150,0.05,1000
27,27,1.1350391000000002,577.0,150,0.05,1000
28,28,1.1756095000000002,578.0,150,0.05,1000
29,29,1.216425300000001,625.0,150,0.05,1000
30,30,1.2564855000000001,625.0,150,0.05,1000
31,31,1.2966614000000014,625.0,150,0.05,1000
32,32,1.3374822000000002,625.0,150,0.05,1000
33,33,1.3779502999999984,625.0,150,0.05,1000
34,34,1.4188483000000005,625.0,150,0.05,1000
35,35,1.4592875999999997,625.0,150,0.05,1000
36,36,1.5003349999999998,625.0,150,0.05,1000
37,37,1.5416880999999982,625.0,150,0.05,1000
38,38,1.5823080000000012,625.0,150,0.05,1000
39,39,1.6237835999999994,625.0,150,0.05,1000
40,40,1.664962899999999,625.0,150,0.05,1000
41,41,1.7124465999999998,625.0,150,0.05,1000
42,42,1.7593557000000004,625.0,150,0.05,1000
43,43,1.8025950000000002,625.0,150,0.05,1000
44,44,1.845271499999999,625.0,150,0.05,1000
45,45,1.8880680999999981,625.0,150,0.05,1000
46,46,1.9297447000000005,625.0,150,0.05,1000
47,47,1.9728065999999984,625.0,150,0.05,1000
48,48,2.0153014999999996,625.0,150,0.05,1000
49,49,2.0561839999999982,625.0,150,0.05,1000
50,50,2.096711599999999,625.0,150,0.05,1000
51,51,2.1398674,625.0,150,0.05,1000
52,52,2.190448700000001,625.0,150,0.05,1000
53,53,2.237169999999999,625.0,150,0.05,1000
54,54,2.2808649999999986,625.0,150,0.05,1000
55,55,2.3241303,625.0,150,0.05,1000
56,56,2.3659812000000002,625.0,150,0.05,1000
57,57,2.4079972000000005,625.0,150,0.05,1000
58,58,2.4495371000000006,625.0,150,0.05,1000
59,59,2.4922663000000007,625.0,150,0.05,1000
60,60,2.534880900000001,625.0,150,0.05,1000
61,61,2.5764031000000003,625.0,150,0.05,1000
62,62,2.6208653999999996,625.0,150,0.05,1000
63,63,2.663132900000001,625.0,150,0.05,1000
64,64,2.705586799999999,625.0,150,0.05,1000
65,65,2.7465875000000004,625.0,150,0.05,1000
66,66,2.7888075000000008,625.0,150,0.05,1000
67,67,2.8312732999999994,625.0,150,0.05,1000
68,68,2.8727817999999985,625.0,150,0.05,1000
69,69,2.914597999999998,625.0,150,0.05,1000
70,70,2.9561795999999987,625.0,150,0.05,1000
71,71,2.9971704999999993,625.0,150,0.05,1000
72,72,3.0395132999999994,625.0,150,0.05,1000
73,73,3.081066,625.0,150,0.05,1000
74,74,3.1222759999999994,625.0,150,0.05,1000
75,75,3.1631417999999982,625.0,150,0.05,1000
76,76,3.204701199999999,625.0,150,0.05,1000
77,77,3.2453483,625.0,150,0.05,1000
78,78,3.286991499999999,625.0,150,0.05,1000
79,79,3.3276578999999984,625.0,150,0.05,1000
